Mutation: 10%
Number of dots: 10
2	2.7001370000000002
4	2.0193709999999996
6	1.670026
8	1.6094390000000007
Number of dots: 25
2	28.365808999999995
4	28.448723999999988
6	30.22541
8	28.670314000000005
10	28.779031
12	27.224455000000003
15	29.744908000000013
20	32.823485999999995
Number of dots: 75
2	866.8337139999999
4	948.6809570000001
6	890.909096
8	878.8084110000001
10	891.9694650000004
12	983.7770670000001
15	979.685861
20	991.7892499999999
25	1036.737787
Number of dots: 100
2	2213.034229
4	2170.493747
6	2136.643686
8	2411.6899869999993
10	2429.47544
12	2405.164598
15	2723.5128239999995
20	2655.309442999999
25	2956.5628749999996
Number of dots: 150
2	9248.426073999999
4	8566.021149
6	8773.598662000002
8	9439.533123
10	9272.139193
12	9853.583785
15	10570.667045
20	10393.825821
25	10394.829920000004
Number of dots: 200
2	17445.346985
4	29803.34428
6	26386.356240000005
8	20635.480535000002
10	22942.30563
12	21255.244695
15	22229.542849999998
20	24596.2652
25	24860.446009999996
